Household Size,Medicaid for Adults,Pregnant Women,Children Under 19
1,"$1,800.25",0,"$4,134.25"
2,"$2,433.15","$3,754.15","$5,587.15"
3,"$3,065.05","$4,731.05","$7,040.05"
4,"$3,698.00","$5,707.00","$8,493.00"
5,"$4,329.90","$6,682.90","$9,945.90"
6,"$4,962.80","$7,659.80","$11,398.80"
7,"$5,595.75","$8,635.75","$12,851.75"
8,"$6,227.65","$9,611.65","$14,304.65"
